,Name,Semi-major axis,Orbital period,Semi-major axis in meters,Orbital period in seconds,Semi-major axis in meters squared,Orbital period in seconds cubed
0,Portia,66090,0.513196,66090000.0,44340.1344,2.88673724529e+23,1966047518.6100636
1,Puck,86010,0.761833,86010000.0,65822.3712,6.36277905801e+23,4332584550.390589
2,Mab,97700,0.9229999999999999,97700000.0,79747.2,9.32574833e+23,6359615907.839999
3,Miranda,129390,1.4134790000000002,129390000.0,122124.5856,2.166217892019e+24,14914414407.97173
4,Ariel,191020,2.520379,191020000.0,217760.74560000002,6.970060089208e+24,47419742324.26793
5,Umbriel,266300,4.144177,266300000.0,358056.89280000003,1.8884848247e+25,128204738481.59071
6,Titania,435910,8.705872,435910000.0,752187.3407999999,8.2830540674071e+25,565785795659.7751
7,Oberon,583520,13.463239000000002,583520000.0,1163223.8496,1.98685986910208e+26,1353089724278.2437
